model,condition,severity,mse,mae,attn_corrupt_mean,attn_clean_mean
cnn_lstm,clean,0.0,0.026321174576878548,0.12730640172958374,,
cnn_lstm,glare,0.0,0.026321174576878548,0.12730640172958374,,
cnn_lstm,glare,0.25,0.025425177067518234,0.12466774880886078,,
cnn_lstm,glare,0.5,0.024973945692181587,0.12188125401735306,,
cnn_lstm,glare,0.75,0.0253689456731081,0.12032770365476608,,
cnn_lstm,glare,1.0,0.026498110964894295,0.1197100356221199,,
cnn_lstm,rain,0.0,0.026321174576878548,0.12730640172958374,,
cnn_lstm,rain,0.25,0.02474488690495491,0.12234893441200256,,
cnn_lstm,rain,0.5,0.02427607588469982,0.12075388431549072,,
cnn_lstm,rain,0.75,0.023915408179163933,0.11991000920534134,,
cnn_lstm,rain,1.0,0.024805331602692604,0.1202470138669014,,
cnn_lstm,occlusion,0.0,0.026321174576878548,0.12730640172958374,,
cnn_lstm,occlusion,0.25,0.025752512738108635,0.12611134350299835,,
cnn_lstm,occlusion,0.5,0.026234032586216927,0.12544085085391998,,
cnn_lstm,occlusion,0.75,0.026530327275395393,0.12373076379299164,,
cnn_lstm,occlusion,1.0,0.031051170080900192,0.13511493802070618,,
cnn_lstm,mixed,0.0,0.026321174576878548,0.12730640172958374,,
cnn_lstm,mixed,0.25,0.025160249322652817,0.12370865046977997,,
cnn_lstm,mixed,0.5,0.024750860407948494,0.12162954360246658,,
cnn_lstm,mixed,0.75,0.024491649121046066,0.12000121176242828,,
cnn_lstm,mixed,1.0,0.027858374640345573,0.12452876567840576,,
cnn_lstm_attention,clean,0.0,0.027404937893152237,0.1302078813314438,,0.20000000298023224
cnn_lstm_attention,glare,0.0,0.027404937893152237,0.1302078813314438,,0.20000000298023224
cnn_lstm_attention,glare,0.25,0.026012206450104713,0.12581545114517212,0.19990479946136475,0.20014281570911407
cnn_lstm_attention,glare,0.5,0.025062743574380875,0.12125617265701294,0.1997489631175995,0.20037652552127838
cnn_lstm_attention,glare,0.75,0.025128766894340515,0.11858036369085312,0.19959188997745514,0.2006121724843979
cnn_lstm_attention,glare,1.0,0.02607758343219757,0.11668351292610168,0.19945628941059113,0.20081554353237152
cnn_lstm_attention,rain,0.0,0.027404937893152237,0.1302078813314438,,0.20000000298023224
cnn_lstm_attention,rain,0.25,0.02615085244178772,0.1261591613292694,0.19994182884693146,0.20008724927902222
cnn_lstm_attention,rain,0.5,0.025509119033813477,0.12350838631391525,0.19983984529972076,0.20024023950099945
cnn_lstm_attention,rain,0.75,0.02529057487845421,0.12103850394487381,0.1997462660074234,0.2003805786371231
cnn_lstm_attention,rain,1.0,0.02500566840171814,0.11886074393987656,0.19982191920280457,0.20026710629463196
cnn_lstm_attention,occlusion,0.0,0.027404937893152237,0.1302078813314438,,0.20000000298023224
cnn_lstm_attention,occlusion,0.25,0.026763858273625374,0.12742675840854645,0.19999872148036957,0.20000191032886505
cnn_lstm_attention,occlusion,0.5,0.025898588821291924,0.12369485199451447,0.19995148479938507,0.200072780251503
cnn_lstm_attention,occlusion,0.75,0.025009626522660255,0.12050846964120865,0.19993114471435547,0.2001032680273056
cnn_lstm_attention,occlusion,1.0,0.027760492637753487,0.12712523341178894,0.19991739094257355,0.2001238912343979
cnn_lstm_attention,mixed,0.0,0.027404937893152237,0.1302078813314438,,0.20000000298023224
cnn_lstm_attention,mixed,0.25,0.026447078213095665,0.12732550501823425,0.19999557733535767,0.2000066488981247
cnn_lstm_attention,mixed,0.5,0.02609040029346943,0.12398556619882584,0.1998535841703415,0.20021961629390717
cnn_lstm_attention,mixed,0.75,0.02502499334514141,0.12010940164327621,0.1997116655111313,0.20043250918388367
cnn_lstm_attention,mixed,1.0,0.025854237377643585,0.11666469275951385,0.19967623054981232,0.20048567652702332
cnn_lstm_featattn,clean,0.0,0.026627345010638237,0.12612207233905792,,0.20000000298023224
cnn_lstm_featattn,glare,0.0,0.026627345010638237,0.12612207233905792,,0.20000000298023224
cnn_lstm_featattn,glare,0.25,0.02509692683815956,0.1219533309340477,0.19939196109771729,0.20091205835342407
cnn_lstm_featattn,glare,0.5,0.024029461666941643,0.11848846822977066,0.19848737120628357,0.20226894319057465
cnn_lstm_featattn,glare,0.75,0.024141831323504448,0.11639431864023209,0.19748735427856445,0.20376896858215332
cnn_lstm_featattn,glare,1.0,0.025269510224461555,0.11531604826450348,0.19659240543842316,0.20511141419410706
cnn_lstm_featattn,rain,0.0,0.026627345010638237,0.12612207233905792,,0.20000000298023224
cnn_lstm_featattn,rain,0.25,0.02475169487297535,0.12110353261232376,0.19984127581119537,0.20023806393146515
cnn_lstm_featattn,rain,0.5,0.0239717960357666,0.11804957687854767,0.19951888918876648,0.2007216513156891
cnn_lstm_featattn,rain,0.75,0.02354111149907112,0.11497227102518082,0.19911643862724304,0.20132535696029663
cnn_lstm_featattn,rain,1.0,0.023362191393971443,0.11365825682878494,0.19867093861103058,0.20199355483055115
cnn_lstm_featattn,occlusion,0.0,0.026627345010638237,0.12612207233905792,,0.20000000298023224
cnn_lstm_featattn,occlusion,0.25,0.025706324726343155,0.1240919679403305,0.20010507106781006,0.1998424082994461
cnn_lstm_featattn,occlusion,0.5,0.025057675316929817,0.12134899199008942,0.20089603960514069,0.19865591824054718
cnn_lstm_featattn,occlusion,0.75,0.024808401241898537,0.1208728477358818,0.20086446404457092,0.19870330393314362
cnn_lstm_featattn,occlusion,1.0,0.02938210405409336,0.1330312043428421,0.20025618374347687,0.1996157318353653
cnn_lstm_featattn,mixed,0.0,0.026627345010638237,0.12612207233905792,,0.20000000298023224
cnn_lstm_featattn,mixed,0.25,0.025439977645874023,0.12342909723520279,0.19967058300971985,0.20049415528774261
cnn_lstm_featattn,mixed,0.5,0.024919472634792328,0.1198052167892456,0.1994088590145111,0.20088671147823334
cnn_lstm_featattn,mixed,0.75,0.02400299534201622,0.11755507439374924,0.1991347372531891,0.20129789412021637
cnn_lstm_featattn,mixed,1.0,0.024362808093428612,0.11439109593629837,0.19847112894058228,0.2022933065891266
pilotnet,clean,0.0,0.026204008609056473,0.127021923661232,,
pilotnet,glare,0.0,0.026204008609056473,0.127021923661232,,
pilotnet,glare,0.25,0.026125412434339523,0.1267239898443222,,
pilotnet,glare,0.5,0.027073096483945847,0.12739963829517365,,
pilotnet,glare,0.75,0.028988977894186974,0.12816303968429565,,
pilotnet,glare,1.0,0.031704239547252655,0.12995801866054535,,
pilotnet,rain,0.0,0.026204008609056473,0.127021923661232,,
pilotnet,rain,0.25,0.025414159521460533,0.12347568571567535,,
pilotnet,rain,0.5,0.02482845075428486,0.12229461967945099,,
pilotnet,rain,0.75,0.02533845603466034,0.12192241102457047,,
pilotnet,rain,1.0,0.028402158990502357,0.12585888803005219,,
pilotnet,occlusion,0.0,0.026204008609056473,0.127021923661232,,
pilotnet,occlusion,0.25,0.02669738046824932,0.13013328611850739,,
pilotnet,occlusion,0.5,0.027707932516932487,0.13085512816905975,,
pilotnet,occlusion,0.75,0.030783195048570633,0.13461066782474518,,
pilotnet,occlusion,1.0,0.0373934730887413,0.14739811420440674,,
pilotnet,mixed,0.0,0.026204008609056473,0.127021923661232,,
pilotnet,mixed,0.25,0.025021934881806374,0.12307708710432053,,
pilotnet,mixed,0.5,0.02715132012963295,0.1275116354227066,,
pilotnet,mixed,0.75,0.026537012308835983,0.12483546882867813,,
pilotnet,mixed,1.0,0.035078588873147964,0.13640934228897095,,
